ID,Title,Category,Sub_Category,KhateebName,CityName,Date,Masjid
10016,خطبة الحاجة,العلم والدعوة والجهاد,أحاديث مشروحة,عبد الرحمن بن الصادق القايدي,جدة,24/11/1427,جامع الأنصار
10017,عبرات المقلتين في وفاة ابن جبرين,"العلم والدعوة والجهاد, سيرة وتاريخ","العلم الشرعي, تراجم",عبد العزيز بن محمد القنام,وادي الدواسر,24/7/1430,جامع النويعمة القديم
10018,فقيد الأمة سماحة الشيخ عبد الله بن جبرين,"العلم والدعوة والجهاد, سيرة وتاريخ","العلم الشرعي, تراجم",عبد الرحمن بن عبد العزيز الجليل,الرياض,24/7/1430,جامع والدة نهار المنديل
10019,رحيل العظماء: دروس وعبر,الرقاق والأخلاق والآداب,"أعمال القلوب, فضائل الأعمال",أحمد بن حسين الفقيهي,الرياض,12/6/1430,جامع الإحسان
1002,في الحث على الصدق وقصة كعب بن مالك وصاحبيه رضي الله عنهم,سيرة وتاريخ,"القصص, غزوات",محمد بن صالح العثيمين,عنيزة,"",الجامع الكبير
10020,فقد العلماء: وفاة ابن جبرين,العلم والدعوة والجهاد,العلم الشرعي,عبد الله بن عبد العزيز التميمي,الرياض,24/7/1430,الأمير حسن بن عبد الله آل سعود
10022,وفاة الشيخ ابن جبرين,"العلم والدعوة والجهاد, سيرة وتاريخ","العلم الشرعي, تراجم",محمد بن حسن ظهير,بيت الفقيه,24/7/1430,جامع الإيمان
10023,فقد العلماء: موت العلامه ابن جبرين رحمه الله,العلم والدعوة والجهاد,العلم الشرعي,محمد بن خالد الخضير,الثقبة,24/7/1430,مسجد ابن حجر
10024,التحذير من الإسراف في الولائم,"الأسرة والمجتمع, فقه","النكاح, قضايا المجتمع",أسامة بن عبد الله خياط,مكة المكرمة,24/7/1430,المسجد الحرام
10025,أمانة الأولاد,الأسرة والمجتمع,الأبناء,علي بن عبد الرحمن الحذيفي,المدينة المنورة,24/7/1430,المسجد النبوي
10026,تسلل الروافض الشيعة,أديان وفرق ومذاهب,فرق منتسبة,عبد الرحمن بن الصادق القايدي,جدة,28/1/1428,جامع الأنصار
10027,مقتل الحسين,سيرة وتاريخ,"تراجم, معارك وأحداث",عبد الرحمن بن الصادق القايدي,جدة,5/2/1428,جامع الأنصار
10028,الاستعباد,الرقاق والأخلاق والآداب,"أمراض القلوب, الفتن",عبد الرحمن بن الصادق القايدي,جدة,3/4/1428,جامع الأنصار
10029,حقيقة الانتصار (1),العلم والدعوة والجهاد,قضايا دعوية,عبد الرحمن بن الصادق القايدي,جدة,21/6/1428,جامع الأنصار
1003,الحث على المسارعة إلى الخيرات,الرقاق والأخلاق والآداب,فضائل الأعمال,صالح بن فوزان الفوزان,الرياض,"",البساتين
10030,فابتغوا عند الله الرزق,"الأسرة والمجتمع, التوحيد","الربوبية, قضايا المجتمع",فواز بن خلف الثبيتي,الطائف,"",جامع الفاروق
10031,أسباب زيادة الرزق,"الأسرة والمجتمع, التوحيد","الربوبية, قضايا المجتمع",فواز بن خلف الثبيتي,الطائف,"",جامع الفاروق
10032,الواسطة في الأعمال والوظائف,الأسرة والمجتمع,قضايا المجتمع,صالح بن محمد الجبري,الطائف,"",جامع الحمودي
10033,أنفلونزا الخنازير,الرقاق والأخلاق والآداب,آثار الذنوب والمعاصي,صالح بن محمد الجبري,الطائف,"",جامع الحمودي
10034,أذية الجيران بالكتابة والرسومات على الجدران,الأسرة والمجتمع,قضايا المجتمع,فيصل بن عبد الله السريحي,مكة المكرمة,17/7/1430,جامع آل ثاني رقم70
10035,المسلمون في الصين بين الخذلان والاستغلال,العلم والدعوة والجهاد,المسلمون في العالم,إبراهيم بن محمد الحقيل,الرياض,2/8/1430,جامع المقيل
10036,الاستقامة,العلم والدعوة والجهاد,أحاديث مشروحة,صالح بن عبد الله بن حميد,مكة المكرمة,2/8/1430,المسجد الحرام
10037,بر الوالدين,الأسرة والمجتمع,الوالدان,علي بن عبد الرحمن الحذيفي,المدينة المنورة,2/8/1430,المسجد النبوي
10038,الابتلاء,الرقاق والأخلاق والآداب,الفتن,فيصل بن محمد العواسي,جدة,"",مسجد بحلس
10039,العشق داء له دواء,الرقاق والأخلاق والآداب,أمراض القلوب,فيصل بن محمد العواسي,جدة,"",مسجد بحلس
10040,القلق: أسبابه وعلاجه,الرقاق والأخلاق والآداب,أمراض القلوب,فيصل بن محمد العواسي,جدة,"",مسجد بحلس
10041,فلذات أكبادنا: شؤون وشجون,الأسرة والمجتمع,الأبناء,فيصل بن محمد العواسي,جدة,"",مسجد بحلس
10042,حقيقة الانتصار (2),العلم والدعوة والجهاد,"القتال والجهاد, قضايا دعوية",عبد الرحمن بن الصادق القايدي,جدة,28/6/1428,جامع الأنصار
10043,تصفيد الشيطان في رمضان,"الإيمان, الرقاق والأخلاق والآداب","الجن والشياطين, فضائل الأزمنة والأمكنة",عبد الرحمن بن الصادق القايدي,جدة,9/9/1428,جامع الأنصار
10044,"غدر قريش بالنبي <img src='../../images/salla-icon.gif' border='0'> وفتح مكة",سيرة وتاريخ,"السيرة النبوية, غزوات",عبد الرحمن بن الصادق القايدي,جدة,21/10/1428,جامع الأنصار
10045,كيف يأتي النصر؟!,العلم والدعوة والجهاد,"القتال والجهاد, قضايا دعوية",عبد الرحمن بن الصادق القايدي,جدة,29/10/1428,جامع الأنصار
10046,البركة,الإيمان,فضائل الإيمان,سعود بن إبراهيم الشريم,مكة المكرمة,9/8/1430,المسجد الحرام
10047,صيانة العرض,"الأسرة والمجتمع, الرقاق والأخلاق والآداب","الفتن, المرأة",صلاح بن محمد البدير,المدينة المنورة,9/8/1430,المسجد النبوي
10048,ترك صلاة الفجر سيئة لها أخوات,فقه,الصلاة,عبد الله بن محمد البصري,القويعية,16/8/1430,جامع الرويضة الجنوبي
10049,حب الأوطان,"أديان وفرق ومذاهب, الأسرة والمجتمع","قضايا المجتمع, مذاهب فكرية معاصرة",صالح بن محمد آل طالب,مكة المكرمة,16/8/1430,المسجد الحرام
1005,حفظ اللسان,الرقاق والأخلاق والآداب,آفات اللسان,عبد الحميد التركستاني,الطائف,24/4/1420,غير محدد
10050,إنها النار,"الإيمان, الرقاق والأخلاق والآداب","الجنة والنار, اليوم الآخر",صالح بن محمد آل طالب,مكة المكرمة,23/8/1430,المسجد الحرام
10051,في ظل العرش,"الرقاق والأخلاق والآداب, العلم والدعوة والجهاد","أحاديث مشروحة, فضائل الأعمال",عبد المحسن بن محمد القاسم,المدينة المنورة,16/8/1430,المسجد النبوي
10052,أحكام مهمة بين يدي رمضان,فقه,الصوم,حسين بن عبد العزيز آل الشيخ,المدينة المنورة,23/8/1430,المسجد النبوي
10053,شرح الصدور بمقدم سيد الشهور,الرقاق والأخلاق والآداب,التوبة,عبد الله بن محمد البصري,القويعية,23/8/1430,جامع الرويضة الجنوبي
10054,"<img src='../../images/start-icon.gif'>أَلَمْ يَأْنِ لِلَّذِينَ آمَنُوا أَن تَخْشَعَ قُلُوبُهُمْ لِذِكْرِ اللهِ<img src='../../images/end-icon.gif'>","الرقاق والأخلاق والآداب, العلم والدعوة والجهاد","الدعاء والذكر, القرآن والتفسير",عبد الرحمن بن الصادق القايدي,جدة,29/7/1429,جامع الأنصار
10055,حتى لا يكون الصيام مملاً,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,عبد الرحمن بن الصادق القايدي,جدة,19/9/1429,جامع الأنصار
10056,بناء الكعبة,"الإيمان, سيرة وتاريخ","الإيمان بالرسل, القصص",عبد الرحمن بن الصادق القايدي,جدة,23/11/1429,جامع الأنصار
10057,دين أهل مكة بعد إسماعيل عليه السلام,سيرة وتاريخ,السيرة النبوية,عبد الرحمن بن الصادق القايدي,جدة,30/11/1429,جامع الأنصار
10058,تذكير الصائم باحتساب الأجور وابتغاء الغنائم,الإيمان,خصال الإيمان,عبد الله بن محمد البصري,القويعية,30/8/1430,جامع الرويضة الجنوبي
10059,فرحة أهل الإيمان بقدوم شهر القرآن,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,أسامة بن عبد الله خياط,مكة المكرمة,30/8/1430,المسجد الحرام
1006,الكذب وشؤمه,الرقاق والأخلاق والآداب,"آفات اللسان, مساوئ الأخلاق",محمد بن صالح العثيمين,عنيزة,"",الجامع الكبير
10060,شهر رمضان,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,حسين بن عبد العزيز آل الشيخ,المدينة المنورة,30/8/1430,المسجد النبوي
10061,مقارنة بين حصار النبي في غزوة الأحزاب وحصار حماس في غزة,"العلم والدعوة والجهاد, سيرة وتاريخ","السيرة النبوية, المسلمون في العالم, غزوات",عبد الرحمن بن الصادق القايدي,جدة,5/1/1430,جامع الأنصار
10062,الكرامات في غزة,"العلم والدعوة والجهاد, قضايا في الاعتقاد","المسلمون في العالم, معجزات وكرامات",عبد الرحمن بن الصادق القايدي,جدة,4/2/1430,جامع الأنصار
10063,المولد (1),قضايا في الاعتقاد,البدع والمحدثات,عبد الرحمن بن الصادق القايدي,جدة,16/3/1430,جامع الأنصار
10064,المولد (2),قضايا في الاعتقاد,البدع والمحدثات,عبد الرحمن بن الصادق القايدي,جدة,23/3/1430,جامع الأنصار
10065,أنفلونزا الخنازير,الرقاق والأخلاق والآداب,آثار الذنوب والمعاصي,عبد الرحمن بن الصادق القايدي,جدة,13/5/1430,جامع الأنصار
10066,العيد وعشر ذي الحجة,"الرقاق والأخلاق والآداب, فقه","الذبائح والأطعمة, فضائل الأزمنة والأمكنة",أحمد بن حسين الفقيهي,الرياض,6/12/1426,جامع الإحسان
10067,الحج: دروس وعبر,فقه,الحج والعمرة,أحمد بن حسين الفقيهي,الرياض,13/12/1426,جامع الإحسان
10068,رمضان بين عطاء المقبلين وحرمان المعرضين,الرقاق والأخلاق والآداب,فضائل الأعمال,عبد الله بن محمد البصري,القويعية,7/9/1430,جامع الرويضة الجنوبي
10069,جرأة الإعلام في شهر الصيام والقيام,"الرقاق والأخلاق والآداب, العلم والدعوة والجهاد","الإعلام, الكبائر والمعاصي",صالح بن عبد الله بن حميد,مكة المكرمة,7/9/1430,المسجد الحرام
1007,في التحذير من الذنوب وعقوباتها,الرقاق والأخلاق والآداب,آثار الذنوب والمعاصي,صالح بن فوزان الفوزان,الرياض,"",البساتين
10070,نصائح لشهر رمضان,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,علي بن عبد الرحمن الحذيفي,المدينة المنورة,7/9/1430,المسجد النبوي
10071,وقفات مع رمضان,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,صالح بن محمد الجبري,الطائف,"",جامع الحمودي
10072,وقفات مع انهيار سوق الأسهم,"الأسرة والمجتمع, فقه","البيوع, قضايا المجتمع",أحمد بن حسين الفقيهي,الرياض,3/2/1427,جامع الإحسان
10073,قصة أول سفك دم في الإسلام,"الرقاق والأخلاق والآداب, العلم والدعوة والجهاد, سيرة وتاريخ","القرآن والتفسير, القصص, الكبائر والمعاصي",أحمد بن حسين الفقيهي,الرياض,24/4/1428,جامع الإحسان
10074,حديث عن القرآن الكريم,العلم والدعوة والجهاد,القرآن والتفسير,أحمد بن حسين الفقيهي,الرياض,7/4/1428,جامع الإحسان
10075,العبادة الذاتية,الإيمان,خصال الإيمان,أحمد بن حسين الفقيهي,الرياض,29/4/1427,جامع الإحسان
10076,الأمن نعمة,الأسرة والمجتمع,قضايا المجتمع,أحمد بن حسين الفقيهي,الرياض,17/4/1428,جامع الإحسان
10077,الدين النصيحة,"الرقاق والأخلاق والآداب, العلم والدعوة والجهاد","أحاديث مشروحة, الآداب والحقوق العامة",أحمد بن حسين الفقيهي,الرياض,14/4/1427,جامع الإحسان
10078,منطق المستهزئين,"الإيمان, الرقاق والأخلاق والآداب","آفات اللسان, نواقض الإيمان",بلال بن عبد الصابر قديري,جدة,"",جامع الغبيشي
10079,العرمرم في فضل ماء زمزم,"الرقاق والأخلاق والآداب, موضوعات عامة","فضائل الأزمنة والأمكنة, مخلوقات الله",بلال بن عبد الصابر قديري,جدة,"",جامع الغبيشي
10080,الصديق الأول رضي الله عنه,"سيرة وتاريخ, قضايا في الاعتقاد","الصحابة, تراجم",بلال بن عبد الصابر قديري,جدة,26/10/1419,جامع الغبيشي
10081,الرؤى والأحلام في الإسلام,موضوعات عامة,الرؤى والمنامات,بلال بن عبد الصابر قديري,جدة,18/7/1422,جامع الغبيشي
10082,عناية الإسلام بالمهن والحرف,الأسرة والمجتمع,قضايا المجتمع,بلال بن عبد الصابر قديري,جدة,13/5/1430,جامع الغبيشي
10083,عضل النساء وأد يتجدد,"الأسرة والمجتمع, فقه","المرأة, النكاح",بلال بن عبد الصابر قديري,جدة,20/5/1430,جامع الغبيشي
10084,فلنستعد بالتوبة قبل رمضان وفي أيام رمضان,الرقاق والأخلاق والآداب,التوبة,عادل بن عبد الله هندي,الجيزة,23/8/1430,مسجد الميدنة المنورة
10085,وقفات مع محاولة الاغتيال الفاشلة,موضوعات عامة,جرائم وحوادث,محمد بن سليمان المهوس,الدمام,14/9/1430,جامع الحمادي
10086,وقفات مع حادثة محاولة الاغتيال الآثم وحديث عن مقام الإحسان,"الإيمان, موضوعات عامة","جرائم وحوادث, خصال الإيمان",محمد بن عدنان السمان,الرياض,14/9/1430,جامع الجهيمي
10087,حادثة الاعتداء على سمو الأمير محمد بن نايف,"الرقاق والأخلاق والآداب, موضوعات عامة","الكبائر والمعاصي, جرائم وحوادث",سالم بن مبارك المحارفي,الرياض,14/9/1430,جامع الشيخ محمد بن عساكر
10088,المجاهرة بالمعصية,الرقاق والأخلاق والآداب,"آثار الذنوب والمعاصي, الكبائر والمعاصي",ناصر بن سعود القثامي,الحوية,16/8/1430,جامع السناح
10089,وبالوالدين إحسانا,الأسرة والمجتمع,الوالدان,أحمد بن حسين الفقيهي,الرياض,21/4/1427,جامع الإحسان
1009,زلات اللسان والغيبة والنميمة,الرقاق والأخلاق والآداب,آفات اللسان,محمد بن صالح العثيمين,عنيزة,"",الجامع الكبير
10090,تهجد النبي عليه الصلاة والسلام,"الرقاق والأخلاق والآداب, فقه","الصلاة, فضائل الأزمنة والأمكنة, فضائل الأعمال",إبراهيم بن محمد الحقيل,الرياض,21/9/1430,جامع المقيل
10091,زكاة الفطر: فرضها وحكمتها وأحكامها,فقه,الزكاة والصدقة,إبراهيم بن محمد الحقيل,الرياض,28/9/1430,جامع المقيل
10092,العشر الأواخر من رمضان,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,أحمد بن حسين الفقيهي,الرياض,21/9/1427,جامع الإحسان
10093,وداع رمضان,الرقاق والأخلاق والآداب,فضائل الأعمال,أحمد بن حسين الفقيهي,الرياض,28/9/1427,جامع الإحسان
10094,ماذا بعد رمضان؟!,"الرقاق والأخلاق والآداب, فقه","الصوم, مواعظ عامة",أحمد بن حسين الفقيهي,الرياض,15/10/1427,جامع الإحسان
10095,معالم في العشر الأواخر,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,محمد بن عدنان السمان,الرياض,21/9/1430,جامع الجهيمي
10096,يا باغي الخير انتصف شهره,الرقاق والأخلاق والآداب,فضائل الأعمال,عبد الله بن محمد البصري,القويعية,14/9/1430,جامع الرويضة الجنوبي
10097,ودخلت العشر,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,عبد الله بن محمد البصري,القويعية,21/9/1430,جامع الرويضة الجنوبي
10098,العشر الأواخر,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,سالم بن سلامة الجلعود,القطيف,21/9/1430,جامع الإمام فيصل بن تركي
10099,الأجور الغفيرة في اغتنام العشر الأخيرة,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,عبد الرحمن السديس إمام الحرم,مكة المكرمة,21/9/1430,المسجد الحرام
10100,من أحكام الاعتكاف,الرقاق والأخلاق والآداب,فضائل الأعمال,حسين بن عبد العزيز آل الشيخ,المدينة المنورة,21/9/1430,المسجد النبوي
10101,محاولة اغتيال الأمير محمد,موضوعات عامة,جرائم وحوادث,عبد اللطيف بن عبد العزيز العجلان,الرياض,7/9/1430,جامع قصر الأمير بدر بن عبد العزيز
10102,عيد الفطر 1429هـ,الرقاق والأخلاق والآداب,مواعظ عامة,محمد بن سليمان الحماد,الرياض,1/10/1429,جامع التركي
10103,تعظيم الله تعالى,"الإيمان, الرقاق والأخلاق والآداب","أعمال القلوب, الله عز وجل",صالح بن محمد آل طالب,مكة المكرمة,28/9/1430,المسجد الحرام
10104,في ختام رمضان,فقه,الزكاة والصدقة,صلاح بن محمد البدير,المدينة المنورة,28/9/1430,المسجد النبوي
10105,عيد الفطر 1430هـ: العمل التطوعي,"الأسرة والمجتمع, الرقاق والأخلاق والآداب","فضائل الأعمال, قضايا المجتمع",صالح بن عبد الله بن حميد,مكة المكرمة,1/10/1430,المسجد الحرام
10106,من حسن الإسلام,"الإيمان, الرقاق والأخلاق والآداب","آفات اللسان, خصال الإيمان",أسامة بن عبد الله خياط,مكة المكرمة,6/10/1430,المسجد الحرام
10107,شكر الله بعد رمضان,الرقاق والأخلاق والآداب,مواعظ عامة,علي بن عبد الرحمن الحذيفي,المدينة المنورة,6/10/1430,المسجد النبوي
10108,التحرش بالمرأة,"الأسرة والمجتمع, الرقاق والأخلاق والآداب","الكبائر والمعاصي, المرأة",صالح بن محمد الجبري,الطائف,"",جامع الحمودي
10109,القوامة,الأسرة والمجتمع,"المرأة, قضايا الأسرة",صالح بن محمد الجبري,الطائف,"",جامع الحمودي
1011,في أكل المال بغير حق,الرقاق والأخلاق والآداب,الكبائر والمعاصي,محمد بن صالح العثيمين,عنيزة,"",الجامع الكبير
10110,اتباع الصراط في تحريم الاختلاط,"الأسرة والمجتمع, الرقاق والأخلاق والآداب","الكبائر والمعاصي, المرأة, قضايا المجتمع",عبد الله بن محمد البصري,القويعية,13/10/1430,جامع الرويضة الجنوبي
10111,سجية الإنصاف,الرقاق والأخلاق والآداب,مكارم الأخلاق,سعود بن إبراهيم الشريم,مكة المكرمة,13/10/1430,المسجد الحرام
10112,الثبات بعد رمضان,الرقاق والأخلاق والآداب,مواعظ عامة,صلاح بن محمد البدير,المدينة المنورة,13/10/1430,المسجد النبوي
10113,وصايا تربوية في العام الدراسي الجديد,العلم والدعوة والجهاد,التربية والتزكية,صالح بن محمد الجبري,الطائف,"",جامع الحمودي
10114,الاعتداء على الأقصى,"العلم والدعوة والجهاد, موضوعات عامة","المسلمون في العالم, جرائم وحوادث",يحيى بن سليمان العقيلي,اليرموك,"",مسجد موضي الصباح
10115,وباء أنفلونزا الخنازير: وقفات وتوجيهات,"الرقاق والأخلاق والآداب, فقه","آثار الذنوب والمعاصي, المرضى والطب",عبد الله بن علي الطريِّف,عنيزة,13/10/1430,جامع إبراهيم القاضي
10116,الانتصار لعلماء الشريعة,العلم والدعوة والجهاد,العلم الشرعي,إبراهيم بن محمد الحقيل,الرياض,13/10/1430,جامع المقيل
10117,الاختلاط ودعاة الرذيلة,"الأسرة والمجتمع, الرقاق والأخلاق والآداب","الكبائر والمعاصي, المرأة, قضايا المجتمع",سالم بن مبارك المحارفي,الرياض,20/10/1430,جامع الشيخ محمد بن عساكر
10118,مكانة العلماء ومكر السفهاء,العلم والدعوة والجهاد,التربية والتزكية,عبد الله بن محمد البصري,القويعية,20/10/1430,جامع الرويضة الجنوبي
10119,الإنارة لطريق الحضارة,العلم والدعوة والجهاد,التربية والتزكية,عبد الرحمن السديس إمام الحرم,مكة المكرمة,20/10/1430,المسجد الحرام
1012,حقيقة الصيام,"الرقاق والأخلاق والآداب, فقه","الصوم, فضائل الأعمال",عبد الحميد التركستاني,الطائف,5/9/1413,طه خياط
10120,منزلة الصلاة في الإسلام,فقه,الصلاة,علي بن عبد الرحمن الحذيفي,المدينة المنورة,20/10/1430,المسجد النبوي
10121,التحذير من مقوضات الأمن,"الأسرة والمجتمع, الرقاق والأخلاق والآداب","آثار الذنوب والمعاصي, قضايا المجتمع",صالح بن محمد آل طالب,مكة المكرمة,27/10/1430,المسجد الحرام
10122,ذم النميمة,الرقاق والأخلاق والآداب,"آفات اللسان, الكبائر والمعاصي",حسين بن عبد العزيز آل الشيخ,المدينة المنورة,27/10/1430,المسجد النبوي
10123,احترام العلماء وطلاب العلم‎,العلم والدعوة والجهاد,العلم الشرعي,عبد الله بن عبد الرحمن الشهري,الرياض,13/10/1430,جامع عمار بن ياسر
10124,إليك أيها المعلم وأنت أيها الطالب,"الأسرة والمجتمع, العلم والدعوة والجهاد","التربية والتزكية, قضايا المجتمع",عبد الله بن عبد الرحمن الشهري,الرياض,20/10/1430,جامع عمار بن ياسر
10125,تمادي السفهاء في اتباع الأهواء,الرقاق والأخلاق والآداب,الفتن,عبد الله بن محمد البصري,القويعية,27/10/1430,جامع الرويضة الجنوبي
10126,وقل جاء الحق وزهق الباطل,العلم والدعوة والجهاد,قضايا دعوية,عبد الله بن محمد البصري,القويعية,4/11/1430,جامع الرويضة الجنوبي
10127,منزلة الخوف,"الإيمان, الرقاق والأخلاق والآداب","أعمال القلوب, خصال الإيمان",أسامة بن عبد الله خياط,مكة المكرمة,4/11/1430,المسجد الحرام
10128,فضل الصبر,"الإيمان, الرقاق والأخلاق والآداب","أعمال القلوب, خصال الإيمان",علي بن عبد الرحمن الحذيفي,المدينة المنورة,4/11/1430,المسجد النبوي
10129,كيف النجاة على الصراط؟,"الإيمان, الرقاق والأخلاق والآداب","الجنة والنار, اليوم الآخر",يحيى بن سليمان العقيلي,اليرموك,"",مسجد موضي الصباح
10130,التشنيف ببيان مفاسد التصنيف,"الأسرة والمجتمع, العلم والدعوة والجهاد","قضايا المجتمع, قضايا دعوية",عبد الرحمن السديس إمام الحرم,مكة المكرمة,11/11/1430,المسجد الحرام
10131,أسباب الانشراح,الرقاق والأخلاق والآداب,أمراض القلوب,حسين بن عبد العزيز آل الشيخ,المدينة المنورة,11/11/1430,المسجد النبوي
10132,اعتداء الحوثيين والتأريخ والمعتقد,"أديان وفرق ومذاهب, الرقاق والأخلاق والآداب","الفتن, فرق منتسبة",سليمان بن حمد العودة,بريدة,25/11/1430,جامع الراشد
10133,الدولة الصفوية (5): تصدير الثورة الذراع الحوثي,"أديان وفرق ومذاهب, الرقاق والأخلاق والآداب","الفتن, فرق منتسبة",إبراهيم بن محمد الحقيل,الرياض,25/11/1430,جامع المقيل
10134,الحوثيون ومطاولة الجبال السنية,"أديان وفرق ومذاهب, الرقاق والأخلاق والآداب","الفتن, فرق منتسبة",عبد الله بن محمد البصري,القويعية,25/11/1430,جامع الرويضة الجنوبي
10135,فتنة الحوثيين,"أديان وفرق ومذاهب, الرقاق والأخلاق والآداب","الفتن, فرق منتسبة",عوض بن خاتم الذبياني,ظلم,25/11/1430,جامع ابن القيم
10136,خطر الحوثيين,"أديان وفرق ومذاهب, الرقاق والأخلاق والآداب","الفتن, فرق منتسبة",بشير بن علي الشيخي,جدة,25/11/1430,مسجد النور
10137,خطبة عيد النحر 1430هـ,الرقاق والأخلاق والآداب,أمراض القلوب,عبد الله بن محمد البصري,القويعية,10/12/1430,جامع الرويضة الجنوبي
10138,إنه البيت المعمور,الإيمان,الجن والشياطين,سعود بن إبراهيم الشريم,مكة المكرمة,3/12/1430,المسجد الحرام
10139,من وحي الحج,فقه,الحج والعمرة,عبد المحسن بن محمد القاسم,المدينة المنورة,3/12/1430,المسجد النبوي
10140,نفحات من البلد الأمين,الرقاق والأخلاق والآداب,فضائل الأزمنة والأمكنة,عبد المحسن بن محمد القاسم,المدينة المنورة,10/12/1430,المسجد النبوي
10141,اليوم الأغر,فقه,الحج والعمرة,عبد الرحمن السديس إمام الحرم,مكة المكرمة,10/12/1430,المسجد الحرام
10142,كارثة السيول بين السائل والمسؤول,موضوعات عامة,جرائم وحوادث,عبد الرحمن السديس إمام الحرم,مكة المكرمة,22/1/1431,المسجد الحرام
10143,ذلكم الله ربكم,"الإيمان, التوحيد","الألوهية, الله عز وجل",صلاح بن محمد البدير,المدينة المنورة,22/1/1431,المسجد النبوي
10144,فضل الصدق,"الإيمان, الرقاق والأخلاق والآداب","خصال الإيمان, مكارم الأخلاق",صالح بن محمد آل طالب,مكة المكرمة,29/1/1431,المسجد الحرام
10145,الإمعان في صنوف الإنعام,الإيمان,خصال الإيمان,علي بن عبد الرحمن الحذيفي,المدينة المنورة,29/1/1431,المسجد النبوي
10146,فقه الكوارث والمثلات,"الرقاق والأخلاق والآداب, موضوعات عامة","آثار الذنوب والمعاصي, جرائم وحوادث",صالح بن عبد الله بن حميد,مكة المكرمة,7/2/1431,المسجد الحرام
10147,ذم الهوى,الرقاق والأخلاق والآداب,الكبائر والمعاصي,حسين بن عبد العزيز آل الشيخ,المدينة المنورة,7/2/1431,المسجد النبوي
